prompt_id,speaker,reference,prediction,wer
arctic_b0057,BDL,they have won popular sentiment through the newspapers,they have won popular sentiment through the newspapers,0.0
arctic_b0082,BDL,he bit his tongue and cursed himself at this fresh break,he bit his tongue and cursed himself at this fresh break,0.0
arctic_b0109,BDL,philip ate lightly of the food which pierre had ready for him,philip took lightly of the food which pierre had ready for him,0.08333333333333333
arctic_b0159,BDL,his teeth shut with a last click,his teeth shut with a last click,0.0
arctic_b0172,BDL,on the far corner of the compound fence a hawk brooded,on the the corner of the compound fence a hawk brooded,0.09090909090909091
arctic_b0175,BDL,sheldon glanced at the thermometer,sheldononanced of the thermometer,0.6
arctic_b0194,BDL,joan cried with shining eyes,joan cried with shining eyes,0.0
arctic_b0200,BDL,we leave the eventuality to time and law,we leave the eventuality to time and law,0.0
arctic_b0217,BDL,such is my passage engaged on the steamer,such is my passage engaged on the steamer,0.0
arctic_b0262,BDL,saxons onto her job,saxons onto her job,0.0
arctic_b0265,BDL,i was not to cry out in the face of fear,i was not to cry out in the face of fear,0.0
arctic_b0267,BDL,the boy threw back his head with pride,the boy threw back his head with pride,0.0
arctic_b0269,BDL,why not like any railroad station or ferry depot,why not like any railroad station or ferry depot,0.0
arctic_b0284,BDL,there was one difficulty however,there was one difficulty however,0.0
arctic_b0295,BDL,all right sir replied jock with great regret,all right right sir replied jock with great great regret,0.25
arctic_b0306,BDL,cameron looked at his hands with their long sinewy fingers,cameron looked at his hands with their long sinewy fingers,0.0
arctic_b0322,BDL,their supply of grub was gone,their supply of grub was gone,0.0
arctic_b0328,BDL,change chairs daylight commanded,change chairs daylight commanded,0.0
arctic_b0341,BDL,i play that choice wide open to win,play play that choice wide open to win,0.125
arctic_b0352,BDL,now just what do you want to know,now just what do you want to know,0.0
arctic_b0357,BDL,the law of club and fang,the law of club and fang,0.0
arctic_b0363,BDL,she was built primarily to sail,she was built primarily to sail,0.0
arctic_b0367,BDL,any average young fellow can teach himself in a week,any average young fellow can teach himself in a week,0.0
arctic_b0372,BDL,mr mcveigh told me about him,mr mcveigh told me about him,0.0
arctic_b0375,BDL,man could not conquer them,man could not conquer them,0.0
arctic_b0376,BDL,thought i and a worthy fool he proved,thought i and a worthy fool he proved,0.0
arctic_b0390,BDL,the voyage was our idea of a good time,the voyage was our idea of a good time,0.0
arctic_b0391,BDL,at sea tuesday march 17 1908,at sea t tuesday march 17 19 o8,0.5
arctic_b0425,BDL,there were orangegreen goldgreen and a coppergreen,there were orange gold green and a coppergreen,0.42857142857142855
arctic_b0433,BDL,we are cooking on the coal stove and on the oil burners,we are cooking on the coal stove and on the oil burners,0.0
arctic_b0435,BDL,well did they eat,well did they eat,0.0
arctic_b0437,BDL,nowhere in the north is the soil so prolific,nowhere in the north is the soil so prolific,0.0
arctic_b0446,BDL,some one had thrust a large sheathknife into his hand,some one had thrust a large sheathknife into his hand,0.0
arctic_b0451,BDL,you used to joyride like the very devil,you used to joyride like the very devil,0.0
arctic_b0470,BDL,the very thing ernest agreed,the very thing agreed agreed,0.2
arctic_b0476,BDL,the reorganization of these countries took the form of revolution,the reorganization of these countries took the form of revolution,0.0
arctic_b0481,BDL,the task we set ourselves was threefold,the task we set ourselves was threefold,0.0
arctic_b0487,BDL,after all superfluous flesh is gone what is left is stringy and resistant,after all superfluous flesh is gone what is left is stringy and resistant,0.0
arctic_b0491,BDL,jacob brinker who was his roadmate brought the news,jacob brinker who was his roadmate brought the news,0.0
arctic_b0499,BDL,i said and dismissed the matter as not worth thinking about,i said and dismissed the matter is not worth thinking about,0.09090909090909091
arctic_b0504,BDL,the life there was healthful and athletic but too juvenile,the life was healthful and athletic but too juvenile,0.1
arctic_b0507,BDL,did i possess too much vitality,did i possess too much vitality,0.0
arctic_b0518,BDL,but there was also talk of witchcraft in the village,but there was also talk of witchcraft in the village,0.0
arctic_b0519,BDL,yea i will tell thee,yea i will tell thee,0.0
arctic_b0527,BDL,the very idea of it was preposterous,the very idea of it was preposterous,0.0
arctic_b0533,BDL,his abnormal power of vision made abstractions take on concrete form,his abnormal power of vision made abstractions take on concrete form,0.0
arctic_b0534,BDL,ill tell you the librarian said with a brightening face,ill tell you the librarian said with a brightening face,0.0
