speaker,utterance_id,l1,speaker_type,bridge_split,text,whisper_pred,reference_norm,prediction_norm,wer,mer,per
CLB,arctic_b0153,English,native,train,He was a pariah a wanderer without a friend or a home," He was a pariah, a wanderer without a friend or a home.",he was a pariah a wanderer without a friend or a home,he was a pariah a wanderer without a friend or a home,0.0,0.0,0.0
SLT,arctic_b0153,English,native,train,He was a pariah a wanderer without a friend or a home," He was a pariah, a wanderer without a friend or a home.",he was a pariah a wanderer without a friend or a home,he was a pariah a wanderer without a friend or a home,0.0,0.0,0.0
NJS,arctic_b0196,Spanish,l2,train,How can you manage all alone Mister Young," How can you manage all alone, Mr. Yong?",how can you manage all alone mister young,how can you manage all alone mr yong,0.25,0.25,0.038461538461538464
CLB,arctic_b0196,English,native,train,How can you manage all alone Mister Young," How can you manage all alone, Mr. Young?",how can you manage all alone mister young,how can you manage all alone mr young,0.125,0.125,0.0
RMS,arctic_b0196,English,native,train,How can you manage all alone Mister Young," How can you manage all alone, Mr. Young?",how can you manage all alone mister young,how can you manage all alone mr young,0.125,0.125,0.0
SLT,arctic_b0196,English,native,train,How can you manage all alone Mister Young," How can you manage all alone, Mr. Young?",how can you manage all alone mister young,how can you manage all alone mr young,0.125,0.125,0.0
TXHC,arctic_b0203,Chinese,l2,train,A month in Australia would finish me, Amongst in Australia would finish me.,a month in australia would finish me,amongst in australia would finish me,0.2857142857142857,0.2857142857142857,0.12
CLB,arctic_b0203,English,native,train,A month in Australia would finish me, A month in Australia would finish me.,a month in australia would finish me,a month in australia would finish me,0.0,0.0,0.0
SLT,arctic_b0203,English,native,train,A month in Australia would finish me, A month in Australia would finish me.,a month in australia would finish me,a month in australia would finish me,0.0,0.0,0.0
RMS,arctic_b0203,English,native,train,A month in Australia would finish me, A month in Australia would finish me.,a month in australia would finish me,a month in australia would finish me,0.0,0.0,0.0
YKWK,arctic_a0238,Korean,l2,train,It happened to him at the Gallina Society in Oakland one afternoon, It happened to him at the Kalina Society in Auckland one afternoon.,it happened to him at the gallina society in oakland one afternoon,it happened to him at the kalina society in auckland one afternoon,0.16666666666666666,0.16666666666666666,0.08333333333333333
SLT,arctic_a0238,English,native,train,It happened to him at the Gallina Society in Oakland one afternoon, It happened to him at the Galena Society in Oakland one afternoon.,it happened to him at the gallina society in oakland one afternoon,it happened to him at the galena society in oakland one afternoon,0.08333333333333333,0.08333333333333333,0.020833333333333332
CLB,arctic_a0238,English,native,train,It happened to him at the Gallina Society in Oakland one afternoon, It happened to him at the Galena Society in Oakland one afternoon.,it happened to him at the gallina society in oakland one afternoon,it happened to him at the galena society in oakland one afternoon,0.08333333333333333,0.08333333333333333,0.020833333333333332
RMS,arctic_a0238,English,native,train,It happened to him at the Gallina Society in Oakland one afternoon, It happened to him at the Galena Society in Oakland one afternoon.,it happened to him at the gallina society in oakland one afternoon,it happened to him at the galena society in oakland one afternoon,0.08333333333333333,0.08333333333333333,0.020833333333333332
TLV,arctic_b0393,Vietnamese,l2,train,I was still weak from my prolonged immersion, I was still weak from my prolonged immersion.,i was still weak from my prolonged immersion,i was still weak from my prolonged immersion,0.0,0.0,0.0
RMS,arctic_b0393,English,native,train,I was still weak from my prolonged immersion, I was still weak from my prolonged immersion.,i was still weak from my prolonged immersion,i was still weak from my prolonged immersion,0.0,0.0,0.0
CLB,arctic_b0393,English,native,train,I was still weak from my prolonged immersion, I was still weak from my prolonged immersion.,i was still weak from my prolonged immersion,i was still weak from my prolonged immersion,0.0,0.0,0.0
SLT,arctic_b0393,English,native,train,I was still weak from my prolonged immersion, I was still weak from my prolonged immersion.,i was still weak from my prolonged immersion,i was still weak from my prolonged immersion,0.0,0.0,0.0
LXC,arctic_b0120,Chinese,l2,train,There is the hitch replied Thorpe rolling a cigarette, There is a hitch replied top rolling a cigarette.,there is the hitch replied thorpe rolling a cigarette,there is a hitch replied top rolling a cigarette,0.2222222222222222,0.2222222222222222,0.125
CLB,arctic_b0120,English,native,train,There is the hitch replied Thorpe rolling a cigarette," There's the hitch replied Thorpe, rolling a cigarette.",there is the hitch replied thorpe rolling a cigarette,theres the hitch replied thorpe rolling a cigarette,0.2222222222222222,0.2222222222222222,0.03125
RMS,arctic_b0120,English,native,train,There is the hitch replied Thorpe rolling a cigarette," There's the hitch, replied Thorpe, rolling a cigarette.",there is the hitch replied thorpe rolling a cigarette,theres the hitch replied thorpe rolling a cigarette,0.2222222222222222,0.2222222222222222,0.03125
SLT,arctic_b0120,English,native,train,There is the hitch replied Thorpe rolling a cigarette," There's the hitch, replied Thor, rolling a cigarette.",there is the hitch replied thorpe rolling a cigarette,theres the hitch replied thor rolling a cigarette,0.3333333333333333,0.3333333333333333,0.0625
RRBI,arctic_b0315,Hindi,l2,train,And this was their sole conversation throughout the meal, and this was their sole conversation throughout the meal.,and this was their sole conversation throughout the meal,and this was their sole conversation throughout the meal,0.0,0.0,0.0
SLT,arctic_b0315,English,native,train,And this was their sole conversation throughout the meal, And this was their sole conversation throughout the meal.,and this was their sole conversation throughout the meal,and this was their sole conversation throughout the meal,0.0,0.0,0.0
RMS,arctic_b0315,English,native,train,And this was their sole conversation throughout the meal, and this was their sole conversation throughout the meal.,and this was their sole conversation throughout the meal,and this was their sole conversation throughout the meal,0.0,0.0,0.0
CLB,arctic_b0315,English,native,train,And this was their sole conversation throughout the meal, and this was their sole conversation throughout the meal.,and this was their sole conversation throughout the meal,and this was their sole conversation throughout the meal,0.0,0.0,0.0
TXHC,arctic_a0425,Chinese,l2,train,Otherwise no restriction is put upon their seafaring," Otherwise, no restriction is put upon their seafiring.",otherwise no restriction is put upon their seafaring,otherwise no restriction is put upon their seafiring,0.125,0.125,0.02702702702702703
CLB,arctic_a0425,English,native,train,Otherwise no restriction is put upon their seafaring," Otherwise, no restriction is put upon their seafaring.",otherwise no restriction is put upon their seafaring,otherwise no restriction is put upon their seafaring,0.0,0.0,0.0
SLT,arctic_a0425,English,native,train,Otherwise no restriction is put upon their seafaring," Otherwise, no restriction is put upon their seafaring.",otherwise no restriction is put upon their seafaring,otherwise no restriction is put upon their seafaring,0.0,0.0,0.0
RMS,arctic_a0425,English,native,train,Otherwise no restriction is put upon their seafaring," Otherwise, no restriction is put upon their seafaring.",otherwise no restriction is put upon their seafaring,otherwise no restriction is put upon their seafaring,0.0,0.0,0.0
RRBI,arctic_b0300,Hindi,l2,train,Does the old boy often go off at half cock that way, Does the old boy often go off at half cock that way?,does the old boy often go off at half cock that way,does the old boy often go off at half cock that way,0.0,0.0,0.0
RMS,arctic_b0300,English,native,train,Does the old boy often go off at half cock that way, Does the old boy often go off at half-cock that way?,does the old boy often go off at half cock that way,does the old boy often go off at halfcock that way,0.16666666666666666,0.16666666666666666,0.0
SLT,arctic_b0300,English,native,train,Does the old boy often go off at half cock that way, Does the old boy often go off at half-cock that way?,does the old boy often go off at half cock that way,does the old boy often go off at halfcock that way,0.16666666666666666,0.16666666666666666,0.0
CLB,arctic_b0300,English,native,train,Does the old boy often go off at half cock that way, Does the old boy often go off at half-cock that way?,does the old boy often go off at half cock that way,does the old boy often go off at halfcock that way,0.16666666666666666,0.16666666666666666,0.0
YKWK,arctic_b0066,Korean,l2,train,If I meet her again I shall apologize said Eileen," If I meet her again, I shall apologize,"" said Aline.",if i meet her again i shall apologize said eileen,if i meet her again i shall apologize said aline,0.1,0.1,0.06451612903225806
SLT,arctic_b0066,English,native,train,If I meet her again I shall apologize said Eileen," If I meet her again I shall apologize,"" said Eileen.",if i meet her again i shall apologize said eileen,if i meet her again i shall apologize said eileen,0.0,0.0,0.0
CLB,arctic_b0066,English,native,train,If I meet her again I shall apologize said Eileen," If I meet her again, I shall apologize,"" said Eileen.",if i meet her again i shall apologize said eileen,if i meet her again i shall apologize said eileen,0.0,0.0,0.0
RMS,arctic_b0066,English,native,train,If I meet her again I shall apologize said Eileen," If I meet her again, I shall apologize,"" said Eileen.",if i meet her again i shall apologize said eileen,if i meet her again i shall apologize said eileen,0.0,0.0,0.0
NCC,arctic_a0206,Chinese,l2,train,He says he bought him of Jacques Le Beau, He says he bought him a vegetable.,he says he bought him of jacques le beau,he says he bought him a vegetable,0.4444444444444444,0.4444444444444444,0.2727272727272727
RMS,arctic_a0206,English,native,train,He says he bought him of Jacques Le Beau, He says he bought him of Jacques Lebeau.,he says he bought him of jacques le beau,he says he bought him of jacques lebeau,0.2222222222222222,0.2222222222222222,0.045454545454545456
CLB,arctic_a0206,English,native,train,He says he bought him of Jacques Le Beau, He says he bought him of Jacques Lebeau.,he says he bought him of jacques le beau,he says he bought him of jacques lebeau,0.2222222222222222,0.2222222222222222,0.045454545454545456
SLT,arctic_a0206,English,native,train,He says he bought him of Jacques Le Beau, He says he bought him of Jacques Lebeau.,he says he bought him of jacques le beau,he says he bought him of jacques lebeau,0.2222222222222222,0.2222222222222222,0.045454545454545456
ASI,arctic_b0162,Hindi,l2,train,He thought he saw a shudder pass through the Factor's shoulders, He thought he was a shutter pass through the factors shoulders.,he thought he saw a shudder pass through the factors shoulders,he thought he was a shutter pass through the factors shoulders,0.18181818181818182,0.18181818181818182,0.11764705882352941
RMS,arctic_b0162,English,native,train,He thought he saw a shudder pass through the Factor's shoulders, He thought he saw a shutter pass through the factor's shoulders.,he thought he saw a shudder pass through the factors shoulders,he thought he saw a shutter pass through the factors shoulders,0.09090909090909091,0.09090909090909091,0.029411764705882353
SLT,arctic_b0162,English,native,train,He thought he saw a shudder pass through the Factor's shoulders, He thought he saw a shutter pass through the factor's shoulders.,he thought he saw a shudder pass through the factors shoulders,he thought he saw a shutter pass through the factors shoulders,0.09090909090909091,0.09090909090909091,0.029411764705882353
CLB,arctic_b0162,English,native,train,He thought he saw a shudder pass through the Factor's shoulders, He thought he saw a shutter pass through the factor's shoulders.,he thought he saw a shudder pass through the factors shoulders,he thought he saw a shutter pass through the factors shoulders,0.09090909090909091,0.09090909090909091,0.029411764705882353
ABA,arctic_b0351,Arabic,l2,train,Matthewson who's this bookkeeper Rogers," Matthewsons, or this bookkeeper Rogers.",matthewson whos this bookkeeper rogers,matthewsons or this bookkeeper rogers,0.4,0.4,0.15384615384615385
RMS,arctic_b0351,English,native,train,Matthewson who's this bookkeeper Rogers," Matthewson, who's this bookkeeper, Rogers?",matthewson whos this bookkeeper rogers,matthewson whos this bookkeeper rogers,0.0,0.0,0.0
CLB,arctic_b0351,English,native,train,Matthewson who's this bookkeeper Rogers," Matthew's son, who's this bookkeeper Rogers.",matthewson whos this bookkeeper rogers,matthews son whos this bookkeeper rogers,0.4,0.3333333333333333,0.038461538461538464
SLT,arctic_b0351,English,native,train,Matthewson who's this bookkeeper Rogers," Matheson, who's this bookkeeper, Rogers?",matthewson whos this bookkeeper rogers,matheson whos this bookkeeper rogers,0.2,0.2,0.07692307692307693
TNI,arctic_b0100,Hindi,l2,train,There was one chance and only one of saving Jeanne, There was no chance and only one of saving Jake.,there was one chance and only one of saving jeanne,there was no chance and only one of saving jake,0.2,0.2,0.15151515151515152
SLT,arctic_b0100,English,native,train,There was one chance and only one of saving Jeanne, There was one chance and only one of saving Jean.,there was one chance and only one of saving jeanne,there was one chance and only one of saving jean,0.1,0.1,0.0
CLB,arctic_b0100,English,native,train,There was one chance and only one of saving Jeanne, There was one chance and only one of saving Jean.,there was one chance and only one of saving jeanne,there was one chance and only one of saving jean,0.1,0.1,0.0
RMS,arctic_b0100,English,native,train,There was one chance and only one of saving Jeanne, There was one chance and only one of saving Jean.,there was one chance and only one of saving jeanne,there was one chance and only one of saving jean,0.1,0.1,0.0
ABA,arctic_b0373,Arabic,l2,train,Unlike Joshua he stood in no need of divine assistance," Allah Jashwa, he stood in no need of divine assistance.",unlike joshua he stood in no need of divine assistance,allah jashwa he stood in no need of divine assistance,0.2,0.2,0.15789473684210525
SLT,arctic_b0373,English,native,train,Unlike Joshua he stood in no need of divine assistance," Unlike Joshua, he stood in no need of divine assistance.",unlike joshua he stood in no need of divine assistance,unlike joshua he stood in no need of divine assistance,0.0,0.0,0.0
CLB,arctic_b0373,English,native,train,Unlike Joshua he stood in no need of divine assistance," Unlike Joshua, he stood in no need of divine assistance.",unlike joshua he stood in no need of divine assistance,unlike joshua he stood in no need of divine assistance,0.0,0.0,0.0
RMS,arctic_b0373,English,native,train,Unlike Joshua he stood in no need of divine assistance," Unlike Joshua, he stood in no need of divine assistance.",unlike joshua he stood in no need of divine assistance,unlike joshua he stood in no need of divine assistance,0.0,0.0,0.0
MBMPS,arctic_a0290,Spanish,l2,train,One by one the boys were captured," One by one, the boys were captured.",one by one the boys were captured,one by one the boys were captured,0.0,0.0,0.0
SLT,arctic_a0290,English,native,train,One by one the boys were captured," One by one, the boys were captured.",one by one the boys were captured,one by one the boys were captured,0.0,0.0,0.0
RMS,arctic_a0290,English,native,train,One by one the boys were captured," One by one, the boys were captured.",one by one the boys were captured,one by one the boys were captured,0.0,0.0,0.0
CLB,arctic_a0290,English,native,train,One by one the boys were captured, One by one the boys were captured.,one by one the boys were captured,one by one the boys were captured,0.0,0.0,0.0
HKK,arctic_a0222,Korean,l2,train,What part of the United States is your home, What part of the United States is your home?,what part of the united states is your home,what part of the united states is your home,0.0,0.0,0.0
RMS,arctic_a0222,English,native,train,What part of the United States is your home, What part of the United States is your home?,what part of the united states is your home,what part of the united states is your home,0.0,0.0,0.0
SLT,arctic_a0222,English,native,train,What part of the United States is your home, What part of the United States is your home?,what part of the united states is your home,what part of the united states is your home,0.0,0.0,0.0
CLB,arctic_a0222,English,native,train,What part of the United States is your home, What part of the United States is your home?,what part of the united states is your home,what part of the united states is your home,0.0,0.0,0.0
HKK,arctic_b0411,Korean,l2,train,He gave no reason but his motive was obvious enough," He gave no reason, but his motive was obvious enough.",he gave no reason but his motive was obvious enough,he gave no reason but his motive was obvious enough,0.0,0.0,0.0
SLT,arctic_b0411,English,native,train,He gave no reason but his motive was obvious enough," He gave no reason, but his motive was obvious enough.",he gave no reason but his motive was obvious enough,he gave no reason but his motive was obvious enough,0.0,0.0,0.0
CLB,arctic_b0411,English,native,train,He gave no reason but his motive was obvious enough," He gave no reason, but his motive was obvious enough.",he gave no reason but his motive was obvious enough,he gave no reason but his motive was obvious enough,0.0,0.0,0.0
RMS,arctic_b0411,English,native,train,He gave no reason but his motive was obvious enough," He gave no reason, but his motive was obvious enough.",he gave no reason but his motive was obvious enough,he gave no reason but his motive was obvious enough,0.0,0.0,0.0
TXHC,arctic_a0010,Chinese,l2,train,I'm playing a single hand in what looks like a losing game, I'm playing a single hand in what looks like a losing game.,im playing a single hand in what looks like a losing game,im playing a single hand in what looks like a losing game,0.0,0.0,0.0
CLB,arctic_a0010,English,native,train,I'm playing a single hand in what looks like a losing game, I'm playing a single hand in what looks like a losing game.,im playing a single hand in what looks like a losing game,im playing a single hand in what looks like a losing game,0.0,0.0,0.0
SLT,arctic_a0010,English,native,train,I'm playing a single hand in what looks like a losing game, I'm playing a single hand in what looks like a losing game.,im playing a single hand in what looks like a losing game,im playing a single hand in what looks like a losing game,0.0,0.0,0.0
RMS,arctic_a0010,English,native,train,I'm playing a single hand in what looks like a losing game, I'm playing a single hand in what looks like a losing game.,im playing a single hand in what looks like a losing game,im playing a single hand in what looks like a losing game,0.0,0.0,0.0
RRBI,arctic_b0459,Hindi,l2,train,They are not biologists nor sociologists, They are no biologists or sociologists.,they are not biologists nor sociologists,they are no biologists or sociologists,0.3333333333333333,0.3333333333333333,0.09375
SLT,arctic_b0459,English,native,train,They are not biologists nor sociologists, They are not biologists nor sociologists.,they are not biologists nor sociologists,they are not biologists nor sociologists,0.0,0.0,0.0
CLB,arctic_b0459,English,native,train,They are not biologists nor sociologists, They are not biologists nor sociologists.,they are not biologists nor sociologists,they are not biologists nor sociologists,0.0,0.0,0.0
RMS,arctic_b0459,English,native,train,They are not biologists nor sociologists, They are not biologists nor sociologists.,they are not biologists nor sociologists,they are not biologists nor sociologists,0.0,0.0,0.0
NCC,arctic_a0558,Chinese,l2,train,And the foundation stone of service in his case was obedience, and the foundation stone of service in his case was obedience.,and the foundation stone of service in his case was obedience,and the foundation stone of service in his case was obedience,0.0,0.0,0.0
CLB,arctic_a0558,English,native,train,And the foundation stone of service in his case was obedience, and the foundation stone of service in his case was obedience.,and the foundation stone of service in his case was obedience,and the foundation stone of service in his case was obedience,0.0,0.0,0.0
SLT,arctic_a0558,English,native,train,And the foundation stone of service in his case was obedience, and the foundation stone of service in his case was obedience.,and the foundation stone of service in his case was obedience,and the foundation stone of service in his case was obedience,0.0,0.0,0.0
RMS,arctic_a0558,English,native,train,And the foundation stone of service in his case was obedience," and the foundation stone of service, in his case, was obedience.",and the foundation stone of service in his case was obedience,and the foundation stone of service in his case was obedience,0.0,0.0,0.0
LXC,arctic_a0423,Chinese,l2,train,McVeigh when he returns from a trip to Honolulu, when he returns from a trip to Honolulu,mcveigh when he returns from a trip to honolulu,when he returns from a trip to honolulu,0.1111111111111111,0.1111111111111111,0.14285714285714285
CLB,arctic_a0423,English,native,train,McVeigh when he returns from a trip to Honolulu, McVeigh when he returns from a trip to Honolulu.,mcveigh when he returns from a trip to honolulu,mcveigh when he returns from a trip to honolulu,0.0,0.0,0.0
RMS,arctic_a0423,English,native,train,McVeigh when he returns from a trip to Honolulu, McVeigh when he returns from a trip to Honolulu.,mcveigh when he returns from a trip to honolulu,mcveigh when he returns from a trip to honolulu,0.0,0.0,0.0
SLT,arctic_a0423,English,native,train,McVeigh when he returns from a trip to Honolulu, McVeigh when he returns from a trip to Honolulu.,mcveigh when he returns from a trip to honolulu,mcveigh when he returns from a trip to honolulu,0.0,0.0,0.0
LXC,arctic_a0106,Chinese,l2,train,The emotion which she had suppressed burst forth now in a choking sob, the emotion which she had suppressed the birth force now in a choking stop.,the emotion which she had suppressed burst forth now in a choking sob,the emotion which she had suppressed the birth force now in a choking stop,0.3076923076923077,0.2857142857142857,0.1590909090909091
CLB,arctic_a0106,English,native,train,The emotion which she had suppressed burst forth now in a choking sob, The emotion which she had suppressed burst forth now in a choking sob.,the emotion which she had suppressed burst forth now in a choking sob,the emotion which she had suppressed burst forth now in a choking sob,0.0,0.0,0.0
RMS,arctic_a0106,English,native,train,The emotion which she had suppressed burst forth now in a choking sob, The emotion which she had suppressed burst forth now in a choking sob.,the emotion which she had suppressed burst forth now in a choking sob,the emotion which she had suppressed burst forth now in a choking sob,0.0,0.0,0.0
SLT,arctic_a0106,English,native,train,The emotion which she had suppressed burst forth now in a choking sob, the emotion which she had suppressed birth forth now in a choking sob.,the emotion which she had suppressed burst forth now in a choking sob,the emotion which she had suppressed birth forth now in a choking sob,0.07692307692307693,0.07692307692307693,0.045454545454545456
NJS,arctic_a0561,Spanish,l2,train,Bill lingered contemplating his work with artistic appreciation," Bill Lingard, contemplating his work with artistic appreciation.",bill lingered contemplating his work with artistic appreciation,bill lingard contemplating his work with artistic appreciation,0.125,0.125,0.0
CLB,arctic_a0561,English,native,train,Bill lingered contemplating his work with artistic appreciation, Bill lingered contemplating his work with artistic appreciation.,bill lingered contemplating his work with artistic appreciation,bill lingered contemplating his work with artistic appreciation,0.0,0.0,0.0
RMS,arctic_a0561,English,native,train,Bill lingered contemplating his work with artistic appreciation," Bill Lingard, contemplating his work with artistic appreciation.",bill lingered contemplating his work with artistic appreciation,bill lingard contemplating his work with artistic appreciation,0.125,0.125,0.0
SLT,arctic_a0561,English,native,train,Bill lingered contemplating his work with artistic appreciation, Bill Lingard contemplating his work with artistic appreciation.,bill lingered contemplating his work with artistic appreciation,bill lingard contemplating his work with artistic appreciation,0.125,0.125,0.0
MBMPS,arctic_a0537,Spanish,l2,train,He was an enthusiast and a desert dweller, He was an enthusiast and a desert dweller.,he was an enthusiast and a desert dweller,he was an enthusiast and a desert dweller,0.0,0.0,0.0
SLT,arctic_a0537,English,native,train,He was an enthusiast and a desert dweller, He was an enthusiast and a desert dweller.,he was an enthusiast and a desert dweller,he was an enthusiast and a desert dweller,0.0,0.0,0.0
RMS,arctic_a0537,English,native,train,He was an enthusiast and a desert dweller, He was an enthusiast and a desert dweller.,he was an enthusiast and a desert dweller,he was an enthusiast and a desert dweller,0.0,0.0,0.0
CLB,arctic_a0537,English,native,train,He was an enthusiast and a desert dweller, He was an enthusiast and a desert dweller.,he was an enthusiast and a desert dweller,he was an enthusiast and a desert dweller,0.0,0.0,0.0
TNI,arctic_a0259,Hindi,l2,train,Think of investing in such an adventure, Think of investing in such an adventure.,think of investing in such an adventure,think of investing in such an adventure,0.0,0.0,0.0
SLT,arctic_a0259,English,native,train,Think of investing in such an adventure, Think of investing in such an adventure.,think of investing in such an adventure,think of investing in such an adventure,0.0,0.0,0.0
RMS,arctic_a0259,English,native,train,Think of investing in such an adventure, Think of investing in such an adventure.,think of investing in such an adventure,think of investing in such an adventure,0.0,0.0,0.0
CLB,arctic_a0259,English,native,train,Think of investing in such an adventure, Think of investing in such an adventure.,think of investing in such an adventure,think of investing in such an adventure,0.0,0.0,0.0
TLV,arctic_a0165,Vietnamese,l2,train,They are to attack your camp tomorrow night, They are to attack your camp tomorrow night.,they are to attack your camp tomorrow night,they are to attack your camp tomorrow night,0.0,0.0,0.0
SLT,arctic_a0165,English,native,train,They are to attack your camp tomorrow night, They are to attack your camp tomorrow night.,they are to attack your camp tomorrow night,they are to attack your camp tomorrow night,0.0,0.0,0.0
CLB,arctic_a0165,English,native,train,They are to attack your camp tomorrow night, They are to attack your camp tomorrow night.,they are to attack your camp tomorrow night,they are to attack your camp tomorrow night,0.0,0.0,0.0
RMS,arctic_a0165,English,native,train,They are to attack your camp tomorrow night, They are to attack your camp tomorrow night.,they are to attack your camp tomorrow night,they are to attack your camp tomorrow night,0.0,0.0,0.0
RRBI,arctic_a0067,Hindi,l2,train,Surely I will excuse you she cried," Surely I will excuse you, Shikrite.",surely i will excuse you she cried,surely i will excuse you shikrite,0.2857142857142857,0.2857142857142857,0.16666666666666666
RMS,arctic_a0067,English,native,train,Surely I will excuse you she cried," Surely I will excuse you,"" she cried.",surely i will excuse you she cried,surely i will excuse you she cried,0.0,0.0,0.0
CLB,arctic_a0067,English,native,train,Surely I will excuse you she cried," Surely I will excuse you,"" she cried.",surely i will excuse you she cried,surely i will excuse you she cried,0.0,0.0,0.0
SLT,arctic_a0067,English,native,train,Surely I will excuse you she cried," Surely I will excuse you,"" she cried.",surely i will excuse you she cried,surely i will excuse you she cried,0.0,0.0,0.0
MBMPS,arctic_b0162,Spanish,l2,train,He thought he saw a shudder pass through the Factor's shoulders, He thought he saw a shutter pass through the factors' shoulders.,he thought he saw a shudder pass through the factors shoulders,he thought he saw a shutter pass through the factors shoulders,0.09090909090909091,0.09090909090909091,0.029411764705882353
ASI,arctic_b0191,Hindi,l2,train,He also contended that better confidence was established by carrying no weapons, He also contended that better confidence was established by carrying no weapons.,he also contended that better confidence was established by carrying no weapons,he also contended that better confidence was established by carrying no weapons,0.0,0.0,0.0
RMS,arctic_b0191,English,native,train,He also contended that better confidence was established by carrying no weapons, He also contended that better confidence was established by carrying no weapons.,he also contended that better confidence was established by carrying no weapons,he also contended that better confidence was established by carrying no weapons,0.0,0.0,0.0
